No. Doc,Código,Detalle,Costo,Venta,Utilidad
25056,1000,tapa registro pinpinov 20*20,4.208,900,-3.308
29774,1000,tapa registro pinpinov 20*20,4.208,6.000,1.792
24256,1001,pala colima boyaca 686,12.300,15.000,2.700
25933,1001,pala colima boyaca 686,12.300,15.000,2.700
26202,1002,silicona pegadit policarbonato 280,17.112,21.000,3.888
23861,1002,silicona pegadit policarbonato 280,17.112,21.000,3.888
22943,1002,silicona pegadit policarbonato 280,17.112,21.000,3.888
29950,1002,silicona pegadit policarbonato 280,17.112,21.000,3.888
28826,1002,silicona pegadit policarbonato 280,17.112,20.000,2.888
27945,1004,cuchilla guadaña pulida 352425p,7.300,9.500,2.200
30839,1004,cuchilla guadaña pulida 352425p,9.200,9.500,300
26336,1004,cuchilla guadaña pulida 352425p,7.300,9.000,1.700
19399,1004,cuchilla guadaña pulida 352425p,14.600,18.000,3.400
26847,1005,flexometro bellota basic 50030 8mt,19.189,23.000,3.811
19920,1005,flexometro bellota basic 50030 8mt,16.157,20.000,3.843
22830,1005,flexometro bellota basic 50030 8mt,19.189,23.000,3.811
23299,1005,flexometro bellota basic 50030 8mt,19.189,23.000,3.811
21860,1005,flexometro bellota basic 50030 8mt,16.157,20.000,3.843
22569,1006,martillo 8001 bellota pulido 31mm,26.550,32.000,5.450
22877,1007,brocha bellota pro1,1.950,2.500,550
24323,1007,brocha bellota pro1,1.950,2.500,550
26696,1007,brocha bellota pro1,1.950,2.500,550
26637,1007,brocha bellota pro1,1.950,2.500,550
26556,1007,brocha bellota pro1,1.950,2.500,550
26064,1007,brocha bellota pro1,1.950,2.500,550
29929,1007,brocha bellota pro1,1.950,2.500,550
28415,1007,brocha bellota pro1,1.950,2.500,550
19705,1008,brocha bellota pro 1 1/2,2.450,3.000,550
19882,1008,brocha bellota pro 1 1/2,2.450,3.000,550
19990,1008,brocha bellota pro 1 1/2,2.450,3.000,550
20780,1008,brocha bellota pro 1 1/2,2.450,3.000,550
25823,1008,brocha bellota pro 1 1/2,2.450,3.000,550
26683,1008,brocha bellota pro 1 1/2,4.900,6.000,1.100
27785,1008,brocha bellota pro 1 1/2,2.100,3.000,900
22465,1008,brocha bellota pro 1 1/2,2.450,3.000,550
23049,1008,brocha bellota pro 1 1/2,2.450,3.000,550
23617,1008,brocha bellota pro 1 1/2,2.450,3.000,550
28401,1008,brocha bellota pro 1 1/2,2.100,3.000,900
27986,1008,brocha bellota pro 1 1/2,2.100,3.000,900
29055,1008,brocha bellota pro 1 1/2,2.100,3.000,900
27840,1009,brocha bellota pro 2,7.710,9.600,1.890
27743,1009,brocha bellota pro 2,3.855,4.800,945
26152,1009,brocha bellota pro 2,3.855,4.800,945
25323,1009,brocha bellota pro 2,3.855,4.800,945
26506,1009,brocha bellota pro 2,3.855,4.800,945
26169,1009,brocha bellota pro 2,3.855,4.800,945
27068,1009,brocha bellota pro 2,3.855,4.800,945
20659,1009,brocha bellota pro 2,3.511,4.200,690
20036,1009,brocha bellota pro 2,3.511,4.200,690
19662,1009,brocha bellota pro 2,3.511,4.200,690
19619,1009,brocha bellota pro 2,3.511,4.200,690
19705,1009,brocha bellota pro 2,3.511,4.200,690
19636,1009,brocha bellota pro 2,3.511,4.200,690
19416,1009,brocha bellota pro 2,3.511,4.200,690
23735,1009,brocha bellota pro 2,3.855,4.800,945
24165,1009,brocha bellota pro 2,3.855,4.800,945
22751,1009,brocha bellota pro 2,3.855,4.200,345
23109,1009,brocha bellota pro 2,3.855,4.800,945
23361,1009,brocha bellota pro 2,3.855,4.800,945
29426,1009,brocha bellota pro 2,3.974,4.800,826
30732,1009,brocha bellota pro 2,3.974,4.800,826
28237,1009,brocha bellota pro 2,3.855,4.800,945
28559,1009,brocha bellota pro 2,7.710,9.600,1.890
28633,1009,brocha bellota pro 2,3.974,4.800,826
29485,1010,martillo bellota 8001-bp 27mm 15 onz,18.547,23.000,4.453
29360,10100,rejilla plana aluminio de 3*2 pulg,3.150,6.000,2.850
29564,10100,rejilla plana aluminio de 3*2 pulg,1.050,2.000,950
28534,10100,rejilla plana aluminio de 3*2 pulg,80.000,80.000,0
28493,10100,rejilla plana aluminio de 3*2 pulg,2.000,2.000,0
29967,10100,rejilla plana aluminio de 3*2 pulg,1.050,2.000,950
30031,10100,rejilla plana aluminio de 3*2 pulg,1.050,2.000,950
29177,10100,rejilla plana aluminio de 3*2 pulg,1.050,2.000,950
28972,10100,rejilla plana aluminio de 3*2 pulg,1.050,2.000,950
29215,10100,rejilla plana aluminio de 3*2 pulg,1.050,2.000,950
28147,10100,rejilla plana aluminio de 3*2 pulg,4.000,4.000,0
27961,10100,rejilla plana aluminio de 3*2 pulg,2.000,2.000,0
27900,10100,rejilla plana aluminio de 3*2 pulg,4.000,4.000,0
30601,10100,rejilla plana aluminio de 3*2 pulg,5.600,8.000,2.400
30668,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
27119,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
27011,10100,rejilla plana aluminio de 3*2 pulg,14.000,18.000,4.000
27393,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
27363,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
25535,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
25486,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
25946,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
26496,10100,rejilla plana aluminio de 3*2 pulg,2.800,4.000,1.200
26280,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
26383,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
26256,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
26431,10100,rejilla plana aluminio de 3*2 pulg,2.800,4.000,1.200
26478,10100,rejilla plana aluminio de 3*2 pulg,2.800,4.000,1.200
26989,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
26859,10100,rejilla plana aluminio de 3*2 pulg,2.800,4.000,1.200
26688,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
25071,10100,rejilla plana aluminio de 3*2 pulg,4.200,6.000,1.800
20681,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.500,1.100
20584,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
20464,10100,rejilla plana aluminio de 3*2 pulg,2.100,4.000,1.900
21155,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
21097,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
21010,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
21687,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
21669,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
21351,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
23192,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
23255,10100,rejilla plana aluminio de 3*2 pulg,2.800,4.000,1.200
23257,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
23192,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
23960,10100,rejilla plana aluminio de 3*2 pulg,5.600,8.000,2.400
24291,10100,rejilla plana aluminio de 3*2 pulg,2.800,4.000,1.200
21962,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
23703,10100,rejilla plana aluminio de 3*2 pulg,2.800,4.000,1.200
22843,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
22989,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
22836,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
22179,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
22243,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
24808,10100,rejilla plana aluminio de 3*2 pulg,1.400,2.000,600
29956,10101,chupa sanitario,1.500,4.000,2.500
29041,10101,chupa sanitario,1.500,4.000,2.500
30983,10102,toma doble con polo galica2 luminex 15a,5.652,6.800,1.148
31032,10102,toma doble con polo galica2 luminex 15a,22.608,27.200,4.592
30710,10102,toma doble con polo galica2 luminex 15a,5.652,6.800,1.148
